farm_type,farm_name,season,boundary_descriptor,boundary_age,insect_key_number,new_insect_key_name,sum_of_insects_100_flowers,broad_insect_category,origin,boundary_alt
Arable,Ahuriri,2022/23,Control farm,NA,21,Blue muscid fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,22,Other muscid flies,0,Non-bees,Both,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,23,Seedcorn maggot fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,24,Three spotted fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,25,Striped flesh fly,0.37174721189591076,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,26,Ginger blister fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,27,Small ginger blister fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,28,Grey-black bristle flies,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,32,Other bristle flies,0,Non-bees,Both,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,33,Drone fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,34,NZ black hover fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,35,NZ orange hover fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,36,NZ blue hover fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,37,Spotted hover fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,39,Streaktail hover fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,40,Black bulb hover fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,41,Other hover flies,0,Non-bees,Both,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,42,Globetail hover fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,43,Green soldier fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,44,Scaptia horse flies,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,47,March fly,0,Non-bees,Native,Control farm
