Year,Farm,Property_Grouping,PK_Boundary,Simplified_Boundary,Very_Simplified_Boundary,Planting_date,Treatment,Colour,Rep,Number_of_Pods,Pod_number,Seed viable,Seed inviable,Native_new_age,Type_of_farm
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,7,13,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,10,12,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,3,12,1,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,10,1,10,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,6,1,13,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,6,2,15,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,6,3,16,0,On-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,6,1,16,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,6,2,11,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,6,3,12,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,1,6,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,2,3,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,3,4,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,4,4,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,1,5,5,4,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,3,11,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,4,10,4,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,9,10,0,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,6,13,1,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Control_farm,Control farm,Bare_fence,*,Open,NA,2,14,7,11,4,Off-farm bare fence,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,4,17,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,5,14,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,16,15,9,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,15,6,11,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,6,4,20,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,6,5,15,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,6,3,16,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,6,4,24,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,6,5,6,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,2,11,8,13,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,2,11,9,10,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,2,11,3,12,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,2,11,7,9,0,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,3,6,1,12,2,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,3,6,3,12,2,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,3,6,5,11,1,Old native,Dairy
2021-2022,Kenburn,Kenburn,Native_2018,Old native,Mixed_native,2018,Open,NA,3,6,2,6,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,2,16,11,10,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,2,16,12,15,6,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,2,16,15,21,1,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,2,16,16,13,4,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,2,16,9,15,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,2,16,10,8,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Closed,NA,1,3,1,0,0,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Closed,NA,1,3,2,0,0,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Closed,NA,1,3,3,0,0,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,4,1,11,0,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,4,2,15,1,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,4,3,11,1,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Open,NA,3,2,1,12,0,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Bare_fence,Bare fence,Bare_fence,*,Open,NA,3,2,2,11,0,On-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Closed,NA,3,3,3,1,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Closed,NA,3,3,1,0,1,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Closed,NA,3,3,2,0,3,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Closed,NA,2,2,1,0,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Closed,NA,2,2,2,0,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,3,1,12,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,3,2,17,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,3,3,18,3,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,2,5,3,13,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,3,10,5,5,7,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,3,10,6,6,5,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,3,10,7,7,5,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,1,7,3,11,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,1,7,1,8,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,1,7,5,6,1,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Open,NA,1,7,7,5,3,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,2,10,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,3,12,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,4,14,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,1,21,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,5,13,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,6,13,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,7,12,0,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,10,8,10,3,Off-farm bare fence,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Closed,NA,2,3,1,0,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Closed,NA,2,3,2,0,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Closed,NA,2,3,3,0,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,19,6,23,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,19,3,21,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,19,8,19,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,19,16,15,1,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,19,18,12,4,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,3,8,4,11,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,3,8,5,13,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,3,8,6,17,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,13,3,20,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,13,4,20,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,13,10,13,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,13,5,11,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,13,6,10,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,3,4,1,9,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,3,4,2,8,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,3,4,3,8,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,3,4,4,7,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,1,3,1,13,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,1,3,2,10,0,Old native,Dairy
2021-2022,Kowhai,Kowhai,Native_2018,Old native,Mixed_native,2018,Open,NA,1,3,3,10,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,6,4,10,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,6,5,13,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,6,6,19,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,6,1,12,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,13,3,12,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,13,4,16,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,13,1,10,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,13,7,15,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,1,13,8,11,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,11,4,11,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,11,1,10,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,11,2,7,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,11,3,8,0,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,11,5,4,1,On-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,4,1,0,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,4,2,0,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,4,3,0,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,4,4,0,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,3,5,1,12,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,3,5,5,12,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,7,3,8,2,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,2,7,2,11,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,3,1,13,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,3,2,5,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,3,3,5,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,2,3,3,20,2,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,2,3,1,18,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,2,3,4,4,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,1,8,7,9,1,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,1,8,1,6,1,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,1,8,2,7,0,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,1,8,4,4,2,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Control_farm,Control farm,Bare_fence,*,Open,NA,1,8,8,4,1,Off-farm bare fence,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,7,6,23,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,7,1,20,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,7,2,14,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,7,3,20,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,6,5,11,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,6,6,16,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,6,1,10,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,6,2,9,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,6,3,8,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,6,4,7,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Open,NA,2,10,4,17,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Open,NA,2,10,5,17,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Open,NA,2,10,6,13,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Open,NA,2,10,2,16,0,Old native,Dairy
2021-2022,Lochan Mor,Lochan_Mor,Native_2018,Old native,Mixed_native,2018,Open,NA,2,10,8,10,0,Old native,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Closed,NA,2,5,3,0,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Closed,NA,2,5,4,0,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Closed,NA,2,5,5,0,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,3,14,6,15,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,3,14,7,18,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,3,14,3,16,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,3,14,5,15,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,3,14,2,15,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,17,13,22,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,17,12,16,3,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,17,4,20,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,17,9,20,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Hand pollinated,NA,2,17,11,12,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,2,12,1,10,5,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,2,12,2,6,2,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,2,12,9,7,4,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,6,5,10,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,6,6,11,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,1,6,2,7,2,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,3,9,2,7,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,3,9,3,6,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,3,9,4,11,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Bare_fence,Bare fence,Bare_fence,*,Open,NA,3,9,5,8,0,On-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,7,1,1,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,7,3,1,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,7,6,1,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Closed,NA,1,7,7,1,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,4,1,20,1,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,4,4,18,2,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Hand pollinated,NA,1,4,2,9,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Open,NA,2,3,1,16,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Open,NA,2,3,2,15,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Control_farm,Control farm,Bare_fence,*,Open,NA,2,3,3,6,0,Off-farm bare fence,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Closed,NA,2,5,1,0,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Closed,NA,2,5,2,0,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,16,5,15,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,16,6,22,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,16,7,15,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,16,8,12,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,2,16,9,9,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,5,4,14,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,5,1,13,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Hand pollinated,NA,1,5,5,14,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,3,20,7,11,9,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,3,20,3,15,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,3,20,4,16,6,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,3,20,5,17,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,3,20,11,7,18,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,1,14,10,24,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,1,14,3,22,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,1,14,7,23,0,Old native,Dairy
2021-2022,Pareka,Pareka,Native_2018,Old native,Mixed_native,2018,Open,NA,1,14,5,16,1,Old native,Dairy
